date,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value,target,Filtered_State,Regime,Regime_Prob
2021-08-24,-0.0368904593639576,-7.234850249766035,-7.19472160485543,-6.53589329690583,0.00072101526439,0.0007505370020896,0.0014504327817569,49860.0,4772.55172144,1206,3155,446.0,-0.04,79.0,-7.210899073279942,1,Low Volatility,0.9999425783769291
2021-08-25,0.0271447288896808,-7.210899073279942,-7.241374497583598,-6.706707626817231,0.0007384928976676,0.0007163264941063,0.0012226830339287,49255.0,4118.89406036,1206,3155,446.0,-0.04,73.0,-6.838895918809978,1,Low Volatility,0.9999477322416537
2021-08-26,-0.0439401607437693,-6.838895918809978,-7.233927837716845,-6.735318733275445,0.0010712855331401,0.0007216806443876,0.0011881964220585,49385.0,6478.84898026,1206,3155,446.0,-0.04,75.0,-7.082992827645776,1,Low Volatility,0.9999598256329759
2021-08-27,0.0478010247651579,-7.082992827645776,-7.21878392081495,-6.7846321204030655,0.0008392576325588,0.0007326928899015,0.0011310237076428,49159.0,5795.68849727,1206,3155,446.0,-0.04,71.0,-8.117203833795614,1,Low Volatility,0.9999593444951639
2021-08-28,-0.0033619266896228,-8.117203833795614,-7.298965384028197,-6.810591827754982,0.0002983617642322,0.0006762380600835,0.0011020404887708,49310.0,2300.78309259,1206,3155,446.0,-0.04,78.0,-7.434932558398328,1,Low Volatility,0.9999575262116196
2021-08-29,-0.0023306210900764,-7.434932558398328,-7.281118382365702,-6.848805505958904,0.0005902687841789,0.0006884152215604,0.0010607219625448,49650.0,4045.8150993,1206,3155,446.0,-0.04,72.0,-7.366845548142002,1,Low Volatility,0.9999580719563493
2021-08-30,-0.0367860065264344,-7.366845548142002,-7.266362684599551,-6.85739006231357,0.0006318582050157,0.0006986485830262,0.001051655108223,48924.66460268,4123.2321237,1206,3155,446.0,-0.04,73.0,-7.344193908181223,1,Low Volatility,0.9999572648085139
2021-08-31,0.00323705195385,-7.344193908181223,-7.281751002123283,-6.877485878614607,0.0006463341627142,0.0006879798542154,0.0010307321761804,48244.0,4300.99119579,1206,3155,446.0,-0.04,73.0,-7.369438495199059,1,Low Volatility,0.9999590980194182
2021-09-01,0.0353287953008036,-7.369438495199059,-7.304489745811772,-6.893429087013834,0.0006302219524175,0.0006725125763225,0.0010144293036673,49139.0,5707.33919335,979,2742,392.0,-0.04,71.0,-7.402311321851672,1,Low Volatility,0.999964511447069
2021-09-02,0.0092374495627061,-7.402311321851672,-7.407654129428689,-6.922182429815493,0.0006098415907286,0.0006065920131208,0.0009856764218228,50365.0,4952.12875523,979,2742,392.0,-0.04,74.0,-6.976646728161671,1,Low Volatility,0.999967292120477
2021-09-03,0.0147542314405162,-6.976646728161671,-7.385718626733913,-6.92041139353856,0.0009334279989541,0.0006200449226059,0.0009874236372575,51142.0,7334.17244249,979,2742,392.0,-0.04,74.0,-7.6855006471761795,1,Low Volatility,0.9999680106089625
2021-09-04,-0.002039959200816,-7.6855006471761795,-7.349278432950307,-6.969100024447247,0.0004594407140769,0.0006430562011551,0.0009404989511323,50544.0,2368.7355857,979,2742,392.0,-0.04,72.0,-7.622833650650366,1,Low Volatility,0.999953934273113
2021-09-05,0.0376961462153551,-7.622833650650366,-7.371997616750313,-7.017668060761883,0.0004891537744967,0.0006286111997719,0.0008959122717628,51900.0,5539.10921209,979,2742,392.0,-0.04,73.0,-7.850626889573053,1,Low Volatility,0.999966957770294
2021-09-06,0.017303978370027,-7.850626889573053,-7.428648577192442,-7.0685718316348645,0.0003895077133761,0.0005939897009663,0.0008514482527044,52742.0,4841.95175558,979,2742,392.0,-0.04,79.0,-4.82481316373448,1,Low Volatility,0.9999576705841436
2021-09-07,-0.1106196370263498,-4.82481316373448,-6.407876721505847,-6.848226247169964,0.0080280536618486,0.0016485210579855,0.0010613365730563,52888.0,16686.2408595,979,2742,392.0,-0.04,79.0,-6.230245012126376,1,Low Volatility,0.9995328476400738
2021-09-08,-0.0166147113936263,-6.230245012126376,-6.298114337050092,-6.8520211453706,0.0019689694161519,0.0018397706956618,0.0010573165414347,47351.0,7553.00377353,979,2742,392.0,-0.04,47.0,-6.794088268437807,1,Low Volatility,0.9998359067882708
2021-09-09,0.0069107520616231,-6.794088268437807,-6.259237012568568,-6.851423905769972,0.0011203789883728,0.001912704609611,0.0010579482013511,47398.57959466,3853.4527536,979,2742,392.0,-0.04,45.0,-6.744453663942248,1,Low Volatility,0.9998533451999728
2021-09-10,-0.0331328547716053,-6.744453663942248,-6.241179730685419,-6.840239301815438,0.0011773917552004,0.0019475565747891,0.0010698473525908,47044.0,5180.76927217,979,2742,392.0,-0.04,46.0,-7.494309339419506,1,Low Volatility,0.9998738112588647
2021-09-11,0.0070676892892178,-7.494309339419506,-6.234104344885279,-6.854175776195524,0.0005562407580188,0.001961385152495,0.0010550408671223,45990.0,2544.93285703,979,2742,392.0,-0.04,31.0,-7.436891898712069,1,Low Volatility,0.9998889247355988
2021-09-12,0.0192582151316169,-7.436891898712069,-6.226850179850143,-6.866744298605966,0.0005891133790397,0.0019756650960012,0.0010418635455363,46466.0,3388.02546936,979,2742,392.0,-0.04,32.0,-5.912628164523433,1,Low Volatility,0.9998878161489423
2021-09-13,-0.0234339856313167,-5.912628164523433,-6.072041637027068,-6.810078752184281,0.0027050681727025,0.0023064594473335,0.0011026060639025,46874.0,8766.1782205,979,2742,392.0,-0.04,44.0,-6.977458506572582,1,Low Volatility,0.9998302120567358
2021-09-14,0.0487544483985764,-6.977458506572582,-6.650919119201133,-6.80847130627598,0.0009326705697303,0.0012928332913166,0.0011043798687741,47238.51708787,3522.31523416,979,2742,392.0,-0.04,30.0,-7.684142802312411,1,Low Volatility,0.9998966590196176
2021-09-15,0.0208898880217169,-7.684142802312411,-6.833320095763686,-6.828789253988386,0.0004600649870277,0.0010772755157275,0.0010821675547962,48444.0,3984.89678517,979,2742,392.0,-0.04,49.0,-7.303817510820764,1,Low Volatility,0.9999393832714283
2021-09-16,-0.0073747844693271,-7.303817510820764,-6.894484521094299,-6.849733941089977,0.0006729648147964,0.0010133592052165,0.0010597376080358,48530.0,3606.92716916,979,2742,392.0,-0.04,53.0,-7.433869103127721,1,Low Volatility,0.9999357578253427
2021-09-17,-0.0101711941735381,-7.433869103127721,-6.980783907092486,-6.861983677837933,0.0005908968425253,0.0009295742176915,0.0010468352876683,48183.0,2492.07158006,979,2742,392.0,-0.04,48.0,-7.772833502233151,1,Low Volatility,0.9999286344855679
2021-09-18,0.0213971583220569,-7.772833502233151,-7.001783834405375,-6.881688951288511,0.0004210186178941,0.0009102567691023,0.0010264090255591,48819.0,2046.85548391,979,2742,392.0,-0.04,50.0,-7.655527551337754,1,Low Volatility,0.9999394631420524
2021-09-19,-0.0221288399436946,-7.655527551337754,-7.020107795386709,-6.891110610486743,0.000473420029763,0.0008937291477771,0.0010167839627524,48370.29414611,2275.17062422,979,2742,392.0,-0.04,53.0,-5.794761676239671,1,Low Volatility,0.9999370490974548
